species_id,preferred_name,scientific_name,synonym,synonym_type,is_farmed_candidate,default_group,notes
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,truite arc-en-ciel,common,TRUE,trout,French rainbow trout
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,truite arc en ciel,common,TRUE,trout,French rainbow trout variant
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,truta-arco-íris,common,TRUE,trout,Portuguese rainbow trout
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,truta arco íris,common,TRUE,trout,Portuguese rainbow trout variant
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,truta-arco-iris,common,TRUE,trout,Portuguese rainbow trout ASCII variant
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,regnbueørret,common,TRUE,trout,Norwegian rainbow trout
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,regnbueaure,common,TRUE,trout,Norwegian/Nynorsk rainbow trout
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,regnbåge,common,TRUE,trout,Swedish rainbow trout
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,regnbågslax,common,TRUE,trout,Swedish rainbow trout
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,regnbågsöring,common,TRUE,trout,Swedish rainbow trout
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,kirjolohi,common,TRUE,trout,Finnish rainbow trout
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,Regenbogenforelle,common,TRUE,trout,German rainbow trout
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,regnbueørred,common,TRUE,trout,Danish rainbow trout
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,regnbogasilungur,common,TRUE,trout,Icelandic rainbow trout
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,ælabogasíl,common,TRUE,trout,Faroese rainbow trout
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,trota iridea,common,TRUE,trout,Italian rainbow trout
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,trota arcobaleno,common,TRUE,trout,Italian rainbow trout
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,gökkuşağı alabalığı,common,TRUE,trout,Turkish rainbow trout
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,gokkusagi alabaligi,common,TRUE,trout,Turkish rainbow trout ASCII variant
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,قزل آلای رنگین کمان,common,TRUE,trout,Persian/Farsi rainbow trout
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,قزل‌آلای رنگین‌کمان,common,TRUE,trout,Persian/Farsi rainbow trout ZWNJ form
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,قزل آلاي رنگين كمان,common,TRUE,trout,FishBase Farsi orthographic form
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,Ghezelalla-e-Rangin Kaman,common,TRUE,trout,FishBase Farsi transliteration
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,Qezel Ala Ranginkaman,common,TRUE,trout,FishBase Farsi transliteration
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,تراوت قوس قزح,common,TRUE,trout,Arabic rainbow trout; FAO wording
UNSPEC_SALMON,Unspecified species,,salmoniculture,generic,TRUE,salmon,French salmon farming/aquaculture term
UNSPEC_SALMON,Unspecified species,,salmonicole,generic,TRUE,salmon,French salmon-farming adjective
UNSPEC_SALMON,Unspecified species,,salmonicultura,generic,TRUE,salmon,Spanish/Portuguese/Italian salmon farming term
