input_doi,openalex_id,openalex_doi,doi_exact_match,title,publication_year,oa_is_oa,oa_status,oa_license,has_pdf,has_grobid_xml,has_fulltext,pdf_url,grobid_xml_url,status
10.3389/fcimb.2021.804864,https://openalex.org/W4205590929,10.3389/fcimb.2021.804864,TRUE,Proteases as Therapeutic Targets Against the Parasitic Cnidarian Ceratonova shasta: Characterization of Molecules Key to Parasite Virulence In Salmonid Hosts,2022,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4205590929.pdf,https://content.openalex.org/works/W4205590929.grobid-xml,matched
10.1017/s0007114514001391,https://openalex.org/W2123712032,10.1017/s0007114514001391,TRUE,Early decrease in dietary protein:energy ratio by fat addition and ontogenetic changes in muscle growth mechanisms of rainbow trout: short- and long-term effects,2014,TRUE,bronze,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2123712032.pdf,https://content.openalex.org/works/W2123712032.grobid-xml,matched
10.14411/fp.2006.002,https://openalex.org/W2153608025,10.14411/fp.2006.002,TRUE,Occurrence of the microsporidian parasite Nucleospora salmonis in four species of salmonids from the Massif Central of France,2006,TRUE,bronze,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2153608025.pdf,https://content.openalex.org/works/W2153608025.grobid-xml,matched
10.1111/jfd.13315,https://openalex.org/W3113273023,10.1111/jfd.13315,TRUE,"Infectious salmon anaemia virus detected by RT‐qPCR in Norwegian farmed rainbow trout, Oncorhynchus mykiss (Walbaum, 1792)",2020,TRUE,hybrid,cc-by-nc,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3113273023.pdf,https://content.openalex.org/works/W3113273023.grobid-xml,matched
10.3390/biology10030206,https://openalex.org/W3135082281,10.3390/biology10030206,TRUE,Piscirickettsia salmonis-Triggered Extracellular Traps Formation as an Innate Immune Response of Atlantic Salmon-Derived Polymorphonuclear Neutrophils,2021,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3135082281.pdf,https://content.openalex.org/works/W3135082281.grobid-xml,matched
10.1242/jeb.003194,https://openalex.org/W2030256396,10.1242/jeb.003194,TRUE,Larval programming of post-hatch muscle growth and activity in Atlantic salmon (Salmo salar),2007,TRUE,bronze,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2030256396.pdf,https://content.openalex.org/works/W2030256396.grobid-xml,matched
10.3354/dao063151,https://openalex.org/W1973180140,10.3354/dao063151,TRUE,A cohabitation challenge to compare the efficacies of vaccines for bacterial kidney disease (BKD) in chinook salmon Oncorhynchus tshawytscha,2005,TRUE,bronze,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W1973180140.pdf,https://content.openalex.org/works/W1973180140.grobid-xml,matched
10.3390/molecules25143183,https://openalex.org/W3041334204,10.3390/molecules25143183,TRUE,New Copper(I) Complex with a Coumarin as Ligand with Antibacterial Activity against Flavobacterium psychrophilum,2020,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3041334204.pdf,https://content.openalex.org/works/W3041334204.grobid-xml,matched
10.1016/j.prevetmed.2021.105360,https://openalex.org/W3154351244,10.1016/j.prevetmed.2021.105360,TRUE,Evaluating effects of different control strategies for Infectious Salmon Anaemia (ISA) in marine salmonid farming by scenario simulation using a disease transmission model,2021,TRUE,hybrid,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3154351244.pdf,https://content.openalex.org/works/W3154351244.grobid-xml,matched
10.1016/j.ecolmodel.2017.05.019,https://openalex.org/W2994860725,10.1016/j.ecolmodel.2017.05.019,TRUE,A stage-structured Bayesian hierarchical model for salmon lice populations at individual salmon farms – Estimated from multiple farm data sets,2017,TRUE,hybrid,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2994860725.pdf,https://content.openalex.org/works/W2994860725.grobid-xml,matched
10.1016/j.epidem.2018.08.001,https://openalex.org/W2885454236,10.1016/j.epidem.2018.08.001,TRUE,A partly stage-structured model for the abundance of salmon lice in salmonid farms,2018,TRUE,gold,cc-by-nc-nd,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2885454236.pdf,https://content.openalex.org/works/W2885454236.grobid-xml,matched
10.1371/journal.pone.0064039,https://openalex.org/W1997284339,10.1371/journal.pone.0064039,TRUE,Space-Time Modelling of the Spread of Salmon Lice between and within Norwegian Marine Salmon Farms,2013,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W1997284339.pdf,https://content.openalex.org/works/W1997284339.grobid-xml,matched
10.1002/edn3.70005,https://openalex.org/W4403045542,10.1002/edn3.70005,TRUE,High‐Resolution Longitudinal eDNA Metabarcoding and Morphological Tracking of Planktonic Threats to Salmon Aquaculture,2024,TRUE,gold,cc-by-nc,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4403045542.pdf,https://content.openalex.org/works/W4403045542.grobid-xml,matched
10.33714/masteb.1063278,https://openalex.org/W4220762583,10.33714/masteb.1063278,TRUE,"Growth Promoter, Immunostimulant and Antioxidant for Rainbow Trout (Oncorhynchus mykiss): Terebinth (Pistacia terebinthus) Extract",2022,TRUE,diamond,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4220762583.pdf,https://content.openalex.org/works/W4220762583.grobid-xml,matched
10.1371/journal.pone.0110343,https://openalex.org/W2072308142,10.1371/journal.pone.0110343,TRUE,Mitochondrial Dysfunction Is Involved in the Toxic Activity of Boric Acid against Saprolegnia,2014,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2072308142.pdf,https://content.openalex.org/works/W2072308142.grobid-xml,matched
10.1051/bioconf/20236504003,https://openalex.org/W4386430556,10.1051/bioconf/20236504003,TRUE,Water quality indicators in high-density cage farming of trout,2023,TRUE,diamond,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4386430556.pdf,https://content.openalex.org/works/W4386430556.grobid-xml,matched
