doi_for_lookup,openalex_id,openalex_title,openalex_is_retracted,openalex_lookup_status,openalex_error,last_checked_at,next_check_at
10.1007/s10126-026-10663-w,https://openalex.org/W7167274229,Synergistic Protection of Atlantic Salmon Against Caligus Rogercresseyi and Piscirickettsia Salmonis Using IPath® and Commercial Vaccines,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10499-024-01485-5,https://openalex.org/W4403319636,"Sludge from sea-based Atlantic salmon (Salmo salar L.) production: quantification, composition, and potential application in integrated multi-trophic aquaculture",FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10499-024-01679-x,https://openalex.org/W4404365200,Effects of temperature and salinity on the LC-PUFA biosynthesis and composition of the nereid polychaete Hediste diversicolor fed side streams,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10499-025-01885-1,https://openalex.org/W4407986359,"Investigation of the probiotic effects of Lactobacillus sakei 2–3 and Candida zeylanoides Y12-3 strains in rainbow trout (Oncorhynchus mykiss, Walbaum 1792)",FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10499-025-01894-0,https://openalex.org/W4408071385,Variations in mucous cell parameters in the gills and skin of farmed Atlantic salmon (Salmo salar) from freshwater flow-through and recirculating aquaculture systems compared to the gills of wild Atlantic salmon juveniles,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10499-025-01950-9,https://openalex.org/W4409185100,Feed enriched by autochthonous probiotic bacteria and its effect on growth and immune response under different feeding regimes and immune response after Aeromonas salmonicida infection in rainbow trout (Oncorhynchus mykiss),FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10499-025-02030-8,https://openalex.org/W4410451934,Effect of different salinities on growth and stress physiology in juvenile lumpfish,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10499-025-02265-5,https://openalex.org/W7104177486,Culture conditions shape metabolism and exopolysaccharide production in Piscirickettsia salmonis: implications for vaccine development,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10499-025-02268-2,,,FALSE,failed,HTTP 504 Gateway Timeout.,2026-08-24T15:52:11Z,2026-08-25T15:52:11Z
10.1007/s10499-025-02384-z,,,FALSE,failed,HTTP 504 Gateway Timeout.,2026-08-24T15:52:11Z,2026-08-25T15:52:11Z
10.1007/s10499-025-02401-1,https://openalex.org/W7116338253,Uncovering patterns in skin and gut microbiota of rainbow trout (Oncorhynchus mykiss): insights from machine learning and feeding trials with sustainable aquafeeds based on yellow mealworm (Tenebrio molitor),FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10499-025-02420-y,https://openalex.org/W7123353920,Domain adaptation and computer vision approaches for robust detection of jellyfish in aquaculture,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10499-026-02522-1,https://openalex.org/W7141280072,Long-term underwater passive acoustic monitoring of the soundscape in an Atlantic salmon sea cage,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10499-026-02531-0,https://openalex.org/W7154490078,"Effects of dietary inclusion of low and high doses of linseed oil on fatty acid composition, growth, and blood biochemistry in commercially farmed Atlantic salmon post-smolt",FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10499-026-02533-y,https://openalex.org/W7160202954,Evaluation of chemical-analytical methods to trace the origin of salmon lice (Lepeophtheirus salmonis) larvae according to the wild or farmed origin of maternal host fish,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10499-026-02552-9,https://openalex.org/W7160632998,"Dietary argan oil for juvenile rainbow trout: growth performance, fatty acid profile, and antioxidant defense",FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10499-026-02596-x,https://openalex.org/W4417473927,The effect of different early weaning regimes on skeletal ontogeny in ballan wrasse (Labrus bergylta) larvae,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10592-024-01662-2,https://openalex.org/W4406470855,Improved estimation of aquaculture associated European introgression in a captive breeding program for endangered Atlantic salmon,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10592-025-01672-8,https://openalex.org/W4406786979,Genetic monitoring suggests ongoing genetic change in wild salmon populations due to hybridization with aquaculture escapees,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10695-025-01483-1,https://openalex.org/W4408885373,Screening the effects of phytoestrogens on lipid metabolism in primary cultured adipocytes from rainbow trout (Oncorhynchus mykiss) and gilthead sea bream (Sparus aurata),FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10695-025-01497-9,https://openalex.org/W4409655388,Aluminum chloride (AlCl3) alters the physiological response of rainbow trout,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10695-025-01535-6,https://openalex.org/W4412491914,Potential antioxidant effect of creatine on the functionality of intratesticular spermatozoa of coho salmon (Oncorhynchus kisutch),FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10695-025-01537-4,https://openalex.org/W4412855382,An integrated approach to evaluate the immunomodulatory effect of functional feed on rainbow trout (Oncorhynchus mykiss) during an A. salmonicida outbreak,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10695-025-01555-2,https://openalex.org/W4414162176,Tissue-specific effects of stocking density on fatty acid composition and liver metabolism in rainbow trout (Oncorhynchus mykiss),FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10695-025-01569-w,https://openalex.org/W4413798497,Induced swimming reduced stress and modulated immune response and antioxidant status in juvenile rainbow trout (Oncorhynchus mykiss),FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10695-025-01577-w,https://openalex.org/W4414129136,Oral melatonin administration modulates apoptosis-related gene expression and counteracts early fertilization decline in overripe rainbow trout (Oncorhynchus mykiss) eggs,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10695-026-01639-7,https://openalex.org/W7129626658,Effects of duration of a plant-based diet stimulus at first feeding on nutritional programming in Atlantic salmon (Salmo salar),FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10695-026-01678-0,https://openalex.org/W7154490258,Evaluation of sample preparation methods for NMR-based metabolomics of Atlantic salmon (Salmo salar) ovarian fluid,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
